content,score,at,userName,thumbsUpCount,reviewCreatedVersion,app_id,app_name,sentiment
Jgn lg terulang kasus brg tidak sy trm setelah 40hari.,5,2026-06-13T06:17:55.000000,Rudy Winarta,0,3.367.1,com.tokopedia.tkpd,Tokopedia,Positif
"Kebanyakan error, diskon masih aktif tapi pas dipasang terus di CO malah gabisaa!!",1,2026-06-26T10:43:33.000000,Muhammad Fadel Maulana,0,,com.tokopedia.tkpd,Tokopedia,Negatif
aplikasi penipuan beli token ditokped sudah dibayar bukti tf sudah saya screenshot tp status pembayaran masih tidak berubah bahkan kode token. juga gaada aplikasi penipuan gini kenapa malah di publikasikan,1,2026-06-28T00:32:26.000000,Ardhi Istighozah S,1,3.369.0,com.tokopedia.tkpd,Tokopedia,Negatif
"kecewa karena gaada gratis ongkir dan barangnya mahal"" adminnya juga gede di akunku, order dibawah/diatas 30k tetep gabisa cod , gaada voucher pengguna baru juga",1,2026-06-20T06:17:12.000000,raihans rik,1,,com.tokopedia.tkpd,Tokopedia,Negatif
"cepat, terkendali mantul",5,2026-06-07T21:46:06.000000,Aris Susanto,0,5.61.1,com.gojek.app,Gojek,Positif
lgi lagi belanja d Tokopedia pengiriman nya lama padahal sudah pakai samday kemarin pakai instans juga lama tidak sesuai dengan ketentuan yg d tetapkan,1,2026-05-16T13:49:06.000000,Ujang Dedi,1,3.364.0,com.tokopedia.tkpd,Tokopedia,Negatif
aman banget dalam perjalanan nyaman ramah saefty pokoknya,5,2026-05-25T02:43:36.000000,Divi aqilah Syahputri,0,5.60.1,com.gojek.app,Gojek,Positif
"Sungguh sangat kecewa saya,hampir tiap hari bertransaksi di dana tapi gak bisa menggunakan fitur dana cicil dan dana paylater,saya tunggu fitur nya dan saya naikin lg bintangnya",1,2026-06-27T02:15:40.000000,Ahmad Pudoly,0,2.131.1,id.dana,DANA,Negatif
dana terbaik enak buat transaksi,5,2026-06-25T03:22:05.000000,Wilendra,0,2.129.0,id.dana,DANA,Positif
"ongkir mahal,barang mahal",1,2026-06-14T01:58:25.000000,Kalvingangteng,0,,com.tokopedia.tkpd,Tokopedia,Negatif
dana cicil tidak bisa di pake,5,2026-06-27T13:51:05.000000,Kudup Cesper,0,,id.dana,DANA,Positif
"senang belanja disini, sering sering kasih diskon yaa, dan fitur cod kalau bisa.",5,2026-06-11T07:35:06.000000,Pangeran Kencet,1,3.367.1,com.tokopedia.tkpd,Tokopedia,Positif
sangat bermanfaat bagi yg tidak punya motor atau mobil,5,2026-05-16T07:20:45.000000,Khoirul Akmal,0,5.60.1,com.gojek.app,Gojek,Positif
"ok, berkembang terus",5,2026-05-14T10:21:33.000000,siti khodijah,0,5.60.1,com.gojek.app,Gojek,Positif
semoga kedepan nya lebih bagus lgi,5,2026-06-06T03:02:53.000000,Mery Rosdiana,0,5.61.1,com.gojek.app,Gojek,Positif
Aman,5,2026-06-22T16:19:07.000000,Liusgulo Lius,0,2.107.0,id.dana,DANA,Positif
drivernya baik,5,2026-06-17T11:04:13.000000,dian arindrianti,0,5.63.1,com.gojek.app,Gojek,Positif
sangat baik ramah cepat,5,2026-06-03T07:07:54.000000,ajum muhammad syaban,0,,com.gojek.app,Gojek,Positif
saya kasih bintang 1 karena point yng di kumpulkan didana itu bisa beneran di tuker kesana ternyata bohongan palsu banget apaan di jadiin voucher mending gausah ngadain eklusif gituan kalau ga beneran bisa ditarik saldo dana nya ending nya jadi voucher doang😒,1,2026-06-26T03:19:46.000000,KrizSakti,0,2.131.1,id.dana,DANA,Negatif
is the best,5,2026-06-02T05:04:20.000000,Suroso Roso,0,3.366.0,com.tokopedia.tkpd,Tokopedia,Positif
"pke dana parah dana cicil nya kata bisa di pake,saya tidak punya tagihan di dana",1,2026-06-22T05:53:43.000000,Heri Cahyana,0,2.129.0,id.dana,DANA,Negatif
aku suka ni apk semua murah diskon banya sering gratis ongkir mantap bgt bedah jauh dengan shope apk jlk,5,2026-06-14T06:59:40.000000,vino,0,,com.tokopedia.tkpd,Tokopedia,Positif
fitur dana cicil,5,2026-06-27T17:13:44.000000,ARIO Saputra,0,2.129.0,id.dana,DANA,Positif
bagus jadi praktis,5,2026-06-22T11:28:49.000000,Anisa Putri,0,2.129.0,id.dana,DANA,Positif
dana cicil klok bisa fitur nya di tampilkan,5,2026-06-21T16:16:18.000000,zhafia ashifa,0,2.130.0,id.dana,DANA,Positif
aplikasi terbaik buat belanja barang yang dibutuhkan cuma tokopedia,5,2026-06-13T03:35:09.000000,Alif Rizky Mubarok,0,,com.tokopedia.tkpd,Tokopedia,Positif
"buka kaliii blokiran, kan bungannya ckup tinggi. mempermudahlaahhh, telat jg g berbulan-bulan cuma beda tgl msh d bulan yg sama!",1,2026-06-11T03:22:18.000000,Four AZ,2,5.62.2,com.gojek.app,Gojek,Negatif
